geometry
LINESTRING (144.959225 -37.798822, 144.959217 -37.798889)
LINESTRING (144.959217 -37.798889, 144.959179 -37.799215)
LINESTRING (144.959179 -37.799215, 144.959267 -37.799306)
LINESTRING (144.959267 -37.799306, 144.959337 -37.799376)
LINESTRING (144.959337 -37.799376, 144.95949 -37.799385)
LINESTRING (144.958842 -37.798952, 144.958819 -37.799132)
LINESTRING (144.958819 -37.799132, 144.958806 -37.799252)
LINESTRING (144.958806 -37.799252, 144.95879 -37.799362)
LINESTRING (144.95879 -37.799362, 144.958723 -37.799365)
LINESTRING (144.959896 -37.797113, 144.959675 -37.797089)
LINESTRING (144.959675 -37.797089, 144.959372 -37.797056)
LINESTRING (144.959372 -37.797056, 144.95938 -37.797)
LINESTRING (144.95938 -37.797, 144.95939 -37.79694)
LINESTRING (144.95939 -37.79694, 144.959439 -37.796695)
LINESTRING (144.959439 -37.796695, 144.959473 -37.796663)
LINESTRING (144.964325 -37.797007, 144.964809 -37.797064)
LINESTRING (144.964412 -37.797388, 144.964376 -37.797384)
LINESTRING (144.964376 -37.797384, 144.964361 -37.797382)
LINESTRING (144.964361 -37.797382, 144.963996 -37.797341)
LINESTRING (144.963996 -37.797341, 144.963688 -37.797301)
LINESTRING (144.963688 -37.797301, 144.963624 -37.797292)
LINESTRING (144.963624 -37.797292, 144.963425 -37.797259)
LINESTRING (144.963425 -37.797259, 144.963312 -37.797182)
LINESTRING (144.963907 -37.797836, 144.963955 -37.797569)
LINESTRING (144.963955 -37.797569, 144.963996 -37.797341)
LINESTRING (144.963207 -37.796979, 144.96307 -37.796965)
LINESTRING (144.96307 -37.796965, 144.962993 -37.796951)
LINESTRING (144.962993 -37.796951, 144.962778 -37.796927)
LINESTRING (144.962778 -37.796927, 144.96257 -37.796903)
LINESTRING (144.96257 -37.796903, 144.962407 -37.796885)
LINESTRING (144.962407 -37.796885, 144.962382 -37.796868)
LINESTRING (144.962382 -37.796868, 144.962339 -37.796864)
LINESTRING (144.962723 -37.797708, 144.962681 -37.797956)
LINESTRING (144.962681 -37.797956, 144.962676 -37.79804)
LINESTRING (144.962676 -37.79804, 144.962662 -37.798116)
LINESTRING (144.962662 -37.798116, 144.962632 -37.798204)
LINESTRING (144.962632 -37.798204, 144.962629 -37.798281)
LINESTRING (144.962629 -37.798281, 144.962622 -37.798318)
LINESTRING (144.962622 -37.798318, 144.962605 -37.798336)
LINESTRING (144.962605 -37.798336, 144.962599 -37.798358)
LINESTRING (144.962599 -37.798358, 144.962594 -37.798392)
LINESTRING (144.961391 -37.798865, 144.961455 -37.798871)
LINESTRING (144.961455 -37.798871, 144.96149 -37.798875)
LINESTRING (144.96149 -37.798875, 144.961729 -37.798899)
LINESTRING (144.961729 -37.798899, 144.961781 -37.798869)
LINESTRING (144.961781 -37.798869, 144.962067 -37.798906)
LINESTRING (144.962067 -37.798906, 144.962103 -37.798896)
LINESTRING (144.962103 -37.798896, 144.962145 -37.798861)
LINESTRING (144.962046 -37.799273, 144.962075 -37.799288)
LINESTRING (144.962075 -37.799288, 144.962046 -37.799479)
LINESTRING (144.962046 -37.799479, 144.962109 -37.799496)
LINESTRING (144.962109 -37.799496, 144.96214 -37.799527)
LINESTRING (144.96214 -37.799527, 144.962142 -37.799559)
LINESTRING (144.962142 -37.799559, 144.962125 -37.799816)
LINESTRING (144.962125 -37.799816, 144.961932 -37.799855)
LINESTRING (144.961932 -37.799855, 144.961585 -37.79982)
LINESTRING (144.961585 -37.79982, 144.96158 -37.799782)
LINESTRING (144.964071 -37.799389, 144.964096 -37.799391)
LINESTRING (144.964096 -37.799391, 144.964148 -37.799397)
LINESTRING (144.964148 -37.799397, 144.964205 -37.799403)
LINESTRING (144.964205 -37.799403, 144.964229 -37.799405)
LINESTRING (144.960081 -37.79818, 144.960084 -37.798165)
LINESTRING (144.961569 -37.797635, 144.96158 -37.797578)
LINESTRING (144.96158 -37.797578, 144.961603 -37.797449)
LINESTRING (144.961603 -37.797449, 144.961613 -37.797392)
LINESTRING (144.962325 -37.797764, 144.962343 -37.797666)
LINESTRING (144.960406 -37.797658, 144.960458 -37.797664)
LINESTRING (144.960693 -37.799182, 144.960981 -37.799216)
LINESTRING (144.960981 -37.799216, 144.961006 -37.799219)
LINESTRING (144.961006 -37.799219, 144.961072 -37.799198)
LINESTRING (144.960803 -37.798548, 144.961032 -37.798574)
LINESTRING (144.96062 -37.799613, 144.961103 -37.799668)
LINESTRING (144.961103 -37.799668, 144.961139 -37.799667)
LINESTRING (144.961139 -37.799667, 144.961164 -37.799658)
LINESTRING (144.961164 -37.799658, 144.961183 -37.799648)
LINESTRING (144.961183 -37.799648, 144.961199 -37.799632)
LINESTRING (144.961199 -37.799632, 144.961206 -37.799614)
LINESTRING (144.961206 -37.799614, 144.96128 -37.799212)
LINESTRING (144.96128 -37.799212, 144.961304 -37.799083)
LINESTRING (144.961304 -37.799083, 144.961362 -37.79876)
LINESTRING (144.961362 -37.79876, 144.96138 -37.79874)
LINESTRING (144.96138 -37.79874, 144.9614 -37.798631)
LINESTRING (144.964808 -37.797916, 144.964573 -37.797867)
LINESTRING (144.964573 -37.797867, 144.964559 -37.797864)
LINESTRING (144.964559 -37.797864, 144.964509 -37.797851)
LINESTRING (144.965167 -37.794317, 144.965259 -37.794329)
LINESTRING (144.958662 -37.792083, 144.9588 -37.792107)
LINESTRING (144.9588 -37.792107, 144.959796 -37.792162)
LINESTRING (144.959961 -37.79197, 144.960176 -37.791897)
LINESTRING (144.960176 -37.791897, 144.960318 -37.791838)
LINESTRING (144.960318 -37.791838, 144.960477 -37.791838)
LINESTRING (144.960477 -37.791838, 144.960551 -37.791859)
LINESTRING (144.960551 -37.791859, 144.960669 -37.791943)
LINESTRING (144.960176 -37.791897, 144.960224 -37.791801)
LINESTRING (144.960224 -37.791801, 144.960251 -37.791704)
LINESTRING (144.960251 -37.791704, 144.960255 -37.791626)
LINESTRING (144.960255 -37.791626, 144.96014 -37.791505)
LINESTRING (144.96014 -37.791505, 144.960062 -37.791414)
LINESTRING (144.960062 -37.791414, 144.959961 -37.791338)
LINESTRING (144.959961 -37.791338, 144.959886 -37.791285)
LINESTRING (144.959886 -37.791285, 144.959759 -37.791126)
LINESTRING (144.960715 -37.793025, 144.960813 -37.793033)
LINESTRING (144.960813 -37.793033, 144.960903 -37.793005)
LINESTRING (144.960903 -37.793005, 144.960961 -37.792986)
LINESTRING (144.960961 -37.792986, 144.961022 -37.792966)
LINESTRING (144.961022 -37.792966, 144.961156 -37.792909)
LINESTRING (144.961156 -37.792909, 144.961207 -37.792879)
LINESTRING (144.961207 -37.792879, 144.961253 -37.792845)
LINESTRING (144.961253 -37.792845, 144.961282 -37.792815)
LINESTRING (144.961282 -37.792815, 144.961313 -37.792776)
LINESTRING (144.961313 -37.792776, 144.961329 -37.792732)
LINESTRING (144.961329 -37.792732, 144.961356 -37.792654)
LINESTRING (144.961356 -37.792654, 144.961372 -37.792531)
LINESTRING (144.961372 -37.792531, 144.961377 -37.792394)
LINESTRING (144.961377 -37.792394, 144.961343 -37.792332)
LINESTRING (144.961343 -37.792332, 144.961248 -37.792317)
LINESTRING (144.961329 -37.792732, 144.96147 -37.792749)
LINESTRING (144.961372 -37.792531, 144.961602 -37.792559)
LINESTRING (144.961377 -37.792394, 144.961523 -37.792383)
LINESTRING (144.959824 -37.795182, 144.959784 -37.795245)
LINESTRING (144.959784 -37.795245, 144.959753 -37.7953)
LINESTRING (144.959753 -37.7953, 144.959693 -37.795761)
LINESTRING (144.959693 -37.795761, 144.959607 -37.795944)
LINESTRING (144.959607 -37.795944, 144.959298 -37.795805)
LINESTRING (144.959636 -37.79494, 144.959535 -37.794982)
LINESTRING (144.959535 -37.794982, 144.959187 -37.794955)
LINESTRING (144.959187 -37.794955, 144.959098 -37.794948)
LINESTRING (144.959098 -37.794948, 144.959063 -37.79492)
LINESTRING (144.959535 -37.794982, 144.959689 -37.795074)
LINESTRING (144.960071 -37.794779, 144.960017 -37.794809)
LINESTRING (144.960063 -37.794997, 144.960014 -37.794993)
LINESTRING (144.960301 -37.795307, 144.960277 -37.795307)
LINESTRING (144.960277 -37.795307, 144.960169 -37.795296)
LINESTRING (144.960169 -37.795296, 144.960107 -37.795266)
LINESTRING (144.960107 -37.795266, 144.959993 -37.795249)
LINESTRING (144.959993 -37.795249, 144.959945 -37.795256)
LINESTRING (144.959945 -37.795256, 144.959898 -37.795251)
LINESTRING (144.959898 -37.795251, 144.959843 -37.7952)
LINESTRING (144.959843 -37.7952, 144.959824 -37.795182)
LINESTRING (144.959824 -37.795182, 144.959794 -37.795154)
LINESTRING (144.959794 -37.795154, 144.959675 -37.795132)
LINESTRING (144.959898 -37.795251, 144.959881 -37.795386)
LINESTRING (144.959993 -37.795249, 144.960007 -37.795292)
LINESTRING (144.960007 -37.795292, 144.960025 -37.795353)
LINESTRING (144.960025 -37.795353, 144.960064 -37.795407)
LINESTRING (144.960064 -37.795407, 144.960074 -37.795427)
LINESTRING (144.960074 -37.795427, 144.960071 -37.79547)
LINESTRING (144.960072 -37.79443, 144.960064 -37.794531)
LINESTRING (144.960064 -37.794531, 144.960094 -37.794545)
LINESTRING (144.960094 -37.794545, 144.960071 -37.794779)
LINESTRING (144.960071 -37.794779, 144.960091 -37.794814)
LINESTRING (144.960091 -37.794814, 144.960082 -37.794906)
LINESTRING (144.960082 -37.794906, 144.960063 -37.794997)
LINESTRING (144.960063 -37.794997, 144.960048 -37.795118)
LINESTRING (144.960048 -37.795118, 144.959993 -37.795249)
LINESTRING (144.960082 -37.794906, 144.960178 -37.794959)
LINESTRING (144.959112 -37.794733, 144.959042 -37.79472)
LINESTRING (144.959042 -37.79472, 144.959006 -37.794715)
LINESTRING (144.960096 -37.794198, 144.960072 -37.79443)
LINESTRING (144.960072 -37.79443, 144.959951 -37.79442)
LINESTRING (144.959951 -37.79442, 144.95991 -37.79443)
LINESTRING (144.95991 -37.79443, 144.959899 -37.794438)
LINESTRING (144.959899 -37.794438, 144.959891 -37.794453)
LINESTRING (144.959891 -37.794453, 144.959882 -37.794593)
LINESTRING (144.959882 -37.794593, 144.959866 -37.794622)
LINESTRING (144.959866 -37.794622, 144.959856 -37.794629)
LINESTRING (144.959856 -37.794629, 144.959784 -37.794661)
LINESTRING (144.959784 -37.794661, 144.959722 -37.794661)
LINESTRING (144.958621 -37.795576, 144.958637 -37.795434)
LINESTRING (144.958637 -37.795434, 144.958655 -37.795411)
LINESTRING (144.958655 -37.795411, 144.958683 -37.795404)
LINESTRING (144.958683 -37.795404, 144.958762 -37.795408)
LINESTRING (144.958762 -37.795408, 144.958775 -37.795398)
LINESTRING (144.958775 -37.795398, 144.958827 -37.795045)
LINESTRING (144.958827 -37.795045, 144.958842 -37.794913)
LINESTRING (144.958827 -37.795045, 144.958995 -37.794925)
LINESTRING (144.958995 -37.794925, 144.958986 -37.794875)
LINESTRING (144.958986 -37.794875, 144.959017 -37.794832)
LINESTRING (144.959017 -37.794832, 144.959026 -37.794814)
LINESTRING (144.959026 -37.794814, 144.959042 -37.79472)
LINESTRING (144.964734 -37.794034, 144.964715 -37.794029)
LINESTRING (144.964715 -37.794029, 144.96464 -37.794013)
LINESTRING (144.96464 -37.794013, 144.96437 -37.79382)
LINESTRING (144.96437 -37.79382, 144.964241 -37.793703)
LINESTRING (144.964241 -37.793703, 144.964136 -37.793624)
LINESTRING (144.964136 -37.793624, 144.963946 -37.793544)
LINESTRING (144.964241 -37.793703, 144.964283 -37.793648)
LINESTRING (144.964283 -37.793648, 144.964392 -37.793583)
LINESTRING (144.964392 -37.793583, 144.964445 -37.793546)
LINESTRING (144.964445 -37.793546, 144.964455 -37.793495)
LINESTRING (144.964455 -37.793495, 144.964324 -37.793324)
LINESTRING (144.964324 -37.793324, 144.964138 -37.793223)
LINESTRING (144.964076 -37.793255, 144.964138 -37.793223)
LINESTRING (144.964138 -37.793223, 144.964186 -37.793174)
LINESTRING (144.964186 -37.793174, 144.964204 -37.79313)
LINESTRING (144.964207 -37.793566, 144.964136 -37.793624)
LINESTRING (144.963812 -37.793579, 144.963757 -37.793677)
LINESTRING (144.963757 -37.793677, 144.963783 -37.793782)
LINESTRING (144.963783 -37.793782, 144.963833 -37.793876)
LINESTRING (144.963833 -37.793876, 144.963836 -37.793943)
LINESTRING (144.963836 -37.793943, 144.963878 -37.793974)
LINESTRING (144.963572 -37.793082, 144.96354 -37.793116)
LINESTRING (144.96354 -37.793116, 144.963452 -37.79319)
LINESTRING (144.963452 -37.79319, 144.96342 -37.79322)
LINESTRING (144.96342 -37.79322, 144.963272 -37.793335)
LINESTRING (144.963272 -37.793335, 144.963246 -37.793356)
LINESTRING (144.963246 -37.793356, 144.963094 -37.79348)
LINESTRING (144.963094 -37.79348, 144.962884 -37.793649)
LINESTRING (144.962884 -37.793649, 144.962856 -37.793672)
LINESTRING (144.962856 -37.793672, 144.962801 -37.793717)
LINESTRING (144.962855 -37.793295, 144.962878 -37.793312)
LINESTRING (144.962878 -37.793312, 144.963094 -37.79348)
LINESTRING (144.963094 -37.79348, 144.963468 -37.793774)
LINESTRING (144.963468 -37.793774, 144.963791 -37.79351)
LINESTRING (144.962855 -37.793295, 144.962847 -37.793333)
LINESTRING (144.962847 -37.793333, 144.962887 -37.793618)
LINESTRING (144.962887 -37.793618, 144.962884 -37.793649)
LINESTRING (144.962884 -37.793649, 144.962914 -37.793695)
LINESTRING (144.962914 -37.793695, 144.962945 -37.793751)
LINESTRING (144.962945 -37.793751, 144.96293 -37.79383)
LINESTRING (144.96293 -37.79383, 144.962854 -37.793896)
LINESTRING (144.962854 -37.793896, 144.962827 -37.79394)
LINESTRING (144.962827 -37.79394, 144.96275 -37.793986)
LINESTRING (144.96275 -37.793986, 144.962713 -37.794022)
LINESTRING (144.962856 -37.793672, 144.962606 -37.793486)
LINESTRING (144.962606 -37.793486, 144.962535 -37.793429)
LINESTRING (144.962535 -37.793429, 144.962499 -37.79346)
LINESTRING (144.963172 -37.793033, 144.963201 -37.793056)
LINESTRING (144.963201 -37.793056, 144.96342 -37.79322)
LINESTRING (144.96342 -37.79322, 144.963565 -37.79334)
LINESTRING (144.963565 -37.79334, 144.963652 -37.793414)
LINESTRING (144.963272 -37.793335, 144.963295 -37.793355)
LINESTRING (144.963295 -37.793355, 144.963421 -37.793459)
LINESTRING (144.963412 -37.793466, 144.963421 -37.793459)
LINESTRING (144.963421 -37.793459, 144.963565 -37.79334)
LINESTRING (144.963565 -37.79334, 144.963422 -37.793348)
LINESTRING (144.963422 -37.793348, 144.963295 -37.793355)
LINESTRING (144.963295 -37.793355, 144.963246 -37.793356)
LINESTRING (144.96342 -37.79322, 144.963422 -37.793348)
LINESTRING (144.963422 -37.793348, 144.963421 -37.793459)
LINESTRING (144.963201 -37.793056, 144.962878 -37.793312)
LINESTRING (144.964685 -37.795342, 144.964675 -37.795341)
LINESTRING (144.964675 -37.795341, 144.964563 -37.795336)
LINESTRING (144.964563 -37.795336, 144.964632 -37.7948)
LINESTRING (144.964632 -37.7948, 144.964601 -37.794788)
LINESTRING (144.964601 -37.794788, 144.964585 -37.794773)
LINESTRING (144.964585 -37.794773, 144.964576 -37.794751)
LINESTRING (144.964576 -37.794751, 144.964577 -37.79473)
LINESTRING (144.964577 -37.79473, 144.964586 -37.794713)
LINESTRING (144.964586 -37.794713, 144.964604 -37.794698)
LINESTRING (144.964604 -37.794698, 144.964634 -37.794687)
LINESTRING (144.964634 -37.794687, 144.964659 -37.794686)
LINESTRING (144.964659 -37.794686, 144.964684 -37.794693)
LINESTRING (144.964684 -37.794693, 144.964697 -37.7947)
LINESTRING (144.964697 -37.7947, 144.964713 -37.794716)
LINESTRING (144.964713 -37.794716, 144.964721 -37.794732)
LINESTRING (144.964721 -37.794732, 144.964721 -37.794752)
LINESTRING (144.964721 -37.794752, 144.964717 -37.794764)
LINESTRING (144.964717 -37.794764, 144.964704 -37.794781)
LINESTRING (144.964704 -37.794781, 144.964677 -37.794797)
LINESTRING (144.964677 -37.794797, 144.964652 -37.794801)
LINESTRING (144.964652 -37.794801, 144.964632 -37.7948)
LINESTRING (144.964721 -37.794732, 144.964788 -37.794732)
LINESTRING (144.964788 -37.794732, 144.964804 -37.79473)
LINESTRING (144.964804 -37.79473, 144.964862 -37.794734)
LINESTRING (144.964862 -37.794734, 144.964949 -37.794739)
LINESTRING (144.963167 -37.796521, 144.963156 -37.796508)
LINESTRING (144.963156 -37.796508, 144.963132 -37.79643)
LINESTRING (144.963132 -37.79643, 144.963147 -37.796361)
LINESTRING (144.963147 -37.796361, 144.963147 -37.796339)
LINESTRING (144.963147 -37.796339, 144.963124 -37.796282)
LINESTRING (144.963124 -37.796282, 144.963047 -37.796179)
LINESTRING (144.963047 -37.796179, 144.963026 -37.796113)
LINESTRING (144.963026 -37.796113, 144.963041 -37.796068)
LINESTRING (144.963041 -37.796068, 144.963029 -37.796034)
LINESTRING (144.963029 -37.796034, 144.962974 -37.795999)
LINESTRING (144.962974 -37.795999, 144.96298 -37.795972)
LINESTRING (144.96298 -37.795972, 144.963199 -37.795999)
LINESTRING (144.963199 -37.795999, 144.963223 -37.795884)
LINESTRING (144.963223 -37.795884, 144.96325 -37.795834)
LINESTRING (144.96325 -37.795834, 144.963294 -37.795783)
LINESTRING (144.963294 -37.795783, 144.963274 -37.795777)
LINESTRING (144.963274 -37.795777, 144.963257 -37.795766)
LINESTRING (144.963257 -37.795766, 144.963245 -37.795753)
LINESTRING (144.963245 -37.795753, 144.963237 -37.795736)
LINESTRING (144.963237 -37.795736, 144.963236 -37.795717)
LINESTRING (144.963236 -37.795717, 144.963242 -37.795699)
LINESTRING (144.963242 -37.795699, 144.963255 -37.795684)
LINESTRING (144.963255 -37.795684, 144.963273 -37.795672)
LINESTRING (144.963273 -37.795672, 144.963294 -37.795666)
LINESTRING (144.963294 -37.795666, 144.963317 -37.795664)
LINESTRING (144.963317 -37.795664, 144.96334 -37.795669)
LINESTRING (144.96334 -37.795669, 144.96336 -37.795678)
LINESTRING (144.96336 -37.795678, 144.963375 -37.795692)
LINESTRING (144.963375 -37.795692, 144.963385 -37.79571)
LINESTRING (144.963385 -37.79571, 144.963387 -37.795731)
LINESTRING (144.963387 -37.795731, 144.96338 -37.79575)
LINESTRING (144.96338 -37.79575, 144.963365 -37.795766)
LINESTRING (144.963365 -37.795766, 144.963344 -37.795778)
LINESTRING (144.963344 -37.795778, 144.96332 -37.795784)
LINESTRING (144.96332 -37.795784, 144.963294 -37.795783)
LINESTRING (144.963375 -37.795692, 144.963883 -37.79575)
LINESTRING (144.963883 -37.79575, 144.963903 -37.795731)
LINESTRING (144.963903 -37.795731, 144.963931 -37.795573)
LINESTRING (144.963931 -37.795573, 144.96397 -37.795559)
LINESTRING (144.96397 -37.795559, 144.964025 -37.795562)
LINESTRING (144.964025 -37.795562, 144.964085 -37.795533)
LINESTRING (144.964085 -37.795533, 144.964169 -37.795542)
LINESTRING (144.963294 -37.795666, 144.963277 -37.795586)
LINESTRING (144.963277 -37.795586, 144.963302 -37.795489)
LINESTRING (144.963302 -37.795489, 144.96336 -37.795432)
LINESTRING (144.96336 -37.795432, 144.963635 -37.795195)
LINESTRING (144.963635 -37.795195, 144.96411 -37.795249)
LINESTRING (144.96411 -37.795249, 144.964247 -37.795264)
LINESTRING (144.96411 -37.795249, 144.964211 -37.794765)
LINESTRING (144.963635 -37.795195, 144.963454 -37.795182)
LINESTRING (144.963454 -37.795182, 144.963528 -37.794739)
LINESTRING (144.963528 -37.794739, 144.963436 -37.794731)
LINESTRING (144.964211 -37.794765, 144.964192 -37.794761)
LINESTRING (144.964192 -37.794761, 144.964181 -37.794756)
LINESTRING (144.964181 -37.794756, 144.964167 -37.794744)
LINESTRING (144.964167 -37.794744, 144.96416 -37.79473)
LINESTRING (144.96416 -37.79473, 144.964159 -37.794715)
LINESTRING (144.964159 -37.794715, 144.964165 -37.7947)
LINESTRING (144.964165 -37.7947, 144.964171 -37.794692)
LINESTRING (144.964171 -37.794692, 144.964186 -37.794682)
LINESTRING (144.964186 -37.794682, 144.964205 -37.794676)
LINESTRING (144.964205 -37.794676, 144.964224 -37.794676)
LINESTRING (144.964224 -37.794676, 144.964237 -37.794679)
LINESTRING (144.964237 -37.794679, 144.964253 -37.794688)
LINESTRING (144.964253 -37.794688, 144.964259 -37.794694)
LINESTRING (144.964259 -37.794694, 144.964265 -37.7947)
LINESTRING (144.964265 -37.7947, 144.964271 -37.794721)
LINESTRING (144.964271 -37.794721, 144.964267 -37.794736)
LINESTRING (144.964267 -37.794736, 144.964257 -37.794749)
LINESTRING (144.964257 -37.794749, 144.964242 -37.794759)
LINESTRING (144.964242 -37.794759, 144.964224 -37.794764)
LINESTRING (144.964224 -37.794764, 144.964211 -37.794765)
LINESTRING (144.957676 -37.796101, 144.957691 -37.795935)
LINESTRING (144.957691 -37.795935, 144.957697 -37.79586)
LINESTRING (144.957697 -37.79586, 144.957708 -37.795773)
LINESTRING (144.957708 -37.795773, 144.957715 -37.7957)
LINESTRING (144.957715 -37.7957, 144.957737 -37.795589)
LINESTRING (144.957737 -37.795589, 144.957894 -37.795603)
LINESTRING (144.957894 -37.795603, 144.957999 -37.795615)
LINESTRING (144.957999 -37.795615, 144.958043 -37.795621)
LINESTRING (144.958043 -37.795621, 144.958062 -37.795623)
LINESTRING (144.958062 -37.795623, 144.958079 -37.795625)
LINESTRING (144.958079 -37.795625, 144.958118 -37.79563)
LINESTRING (144.958118 -37.79563, 144.958236 -37.795643)
LINESTRING (144.958236 -37.795643, 144.958255 -37.79565)
LINESTRING (144.958255 -37.79565, 144.958394 -37.795664)
LINESTRING (144.963302 -37.796981, 144.963377 -37.796935)
LINESTRING (144.961472 -37.797376, 144.961477 -37.79735)
LINESTRING (144.961477 -37.79735, 144.961456 -37.797348)
LINESTRING (144.961456 -37.797348, 144.961512 -37.797028)
LINESTRING (144.961512 -37.797028, 144.961558 -37.796757)
LINESTRING (144.961558 -37.796757, 144.961627 -37.796396)
LINESTRING (144.961627 -37.796396, 144.96164 -37.796381)
LINESTRING (144.96164 -37.796381, 144.961663 -37.796373)
LINESTRING (144.961663 -37.796373, 144.962012 -37.796408)
LINESTRING (144.962012 -37.796408, 144.962162 -37.796427)
LINESTRING (144.962162 -37.796427, 144.962312 -37.796454)
LINESTRING (144.962312 -37.796454, 144.962368 -37.796469)
LINESTRING (144.962368 -37.796469, 144.962437 -37.796499)
LINESTRING (144.962437 -37.796499, 144.962568 -37.796527)
LINESTRING (144.962568 -37.796527, 144.962659 -37.796545)
LINESTRING (144.962659 -37.796545, 144.963198 -37.796609)
LINESTRING (144.963198 -37.796609, 144.963264 -37.796639)
LINESTRING (144.963264 -37.796639, 144.963466 -37.796658)
LINESTRING (144.963466 -37.796658, 144.963896 -37.796701)
LINESTRING (144.963896 -37.796701, 144.963973 -37.796716)
LINESTRING (144.963973 -37.796716, 144.964387 -37.796818)
LINESTRING (144.964387 -37.796818, 144.964455 -37.796856)
LINESTRING (144.964455 -37.796856, 144.964421 -37.797055)
LINESTRING (144.964421 -37.797055, 144.964407 -37.797136)
LINESTRING (144.964407 -37.797136, 144.964361 -37.797382)
LINESTRING (144.960832 -37.795893, 144.960815 -37.795994)
LINESTRING (144.960815 -37.795994, 144.960448 -37.795951)
LINESTRING (144.960448 -37.795951, 144.96041 -37.795898)
LINESTRING (144.96041 -37.795898, 144.960236 -37.795886)
LINESTRING (144.960271 -37.795539, 144.960366 -37.795692)
LINESTRING (144.960366 -37.795692, 144.960511 -37.795859)
LINESTRING (144.960511 -37.795859, 144.960541 -37.795862)
LINESTRING (144.960222 -37.796012, 144.960486 -37.796234)
LINESTRING (144.960832 -37.795893, 144.961563 -37.795969)
LINESTRING (144.961563 -37.795969, 144.961816 -37.796008)
LINESTRING (144.961566 -37.796168, 144.961621 -37.796098)
LINESTRING (144.961621 -37.796098, 144.961633 -37.796053)
LINESTRING (144.961633 -37.796053, 144.961621 -37.796018)
LINESTRING (144.961621 -37.796018, 144.961563 -37.795969)
LINESTRING (144.964148 -37.799397, 144.964162 -37.799308)
LINESTRING (144.964153 -37.798642, 144.964182 -37.798645)
LINESTRING (144.964182 -37.798645, 144.964226 -37.79865)
LINESTRING (144.964226 -37.79865, 144.964236 -37.798651)
LINESTRING (144.964236 -37.798651, 144.964281 -37.798656)
LINESTRING (144.964281 -37.798656, 144.96432 -37.79866)
LINESTRING (144.96432 -37.79866, 144.964332 -37.798661)
LINESTRING (144.964332 -37.798661, 144.964374 -37.798665)
LINESTRING (144.964374 -37.798665, 144.964407 -37.798669)
LINESTRING (144.964258 -37.798787, 144.964281 -37.798656)
LINESTRING (144.963528 -37.794739, 144.963544 -37.794654)
LINESTRING (144.963544 -37.794654, 144.964159 -37.794715)
LINESTRING (144.963563 -37.794553, 144.963544 -37.794654)
LINESTRING (144.964259 -37.794694, 144.964319 -37.794665)
LINESTRING (144.964292 -37.795399, 144.964287 -37.795438)
LINESTRING (144.960079 -37.796677, 144.959982 -37.796662)
LINESTRING (144.960146 -37.797008, 144.960169 -37.796852)
LINESTRING (144.960169 -37.796852, 144.960187 -37.796759)
LINESTRING (144.960187 -37.796759, 144.960131 -37.796717)
LINESTRING (144.963377 -37.796935, 144.963664 -37.796963)
LINESTRING (144.963664 -37.796963, 144.963732 -37.796941)
LINESTRING (144.961529 -37.79703, 144.961512 -37.797028)
LINESTRING (144.961512 -37.797028, 144.961458 -37.797021)
LINESTRING (144.961458 -37.797021, 144.961398 -37.797014)
LINESTRING (144.962065 -37.797407, 144.962059 -37.79744)
LINESTRING (144.962145 -37.798861, 144.962103 -37.799075)
LINESTRING (144.961922 -37.798518, 144.962055 -37.798536)
LINESTRING (144.962055 -37.798536, 144.962097 -37.79856)
LINESTRING (144.962097 -37.79856, 144.962153 -37.798568)
LINESTRING (144.962153 -37.798568, 144.962189 -37.798646)
LINESTRING (144.962189 -37.798646, 144.962334 -37.798577)
LINESTRING (144.964325 -37.797007, 144.963732 -37.796941)
LINESTRING (144.959372 -37.797056, 144.95934 -37.797051)
LINESTRING (144.95934 -37.797051, 144.959296 -37.797056)
LINESTRING (144.959296 -37.797056, 144.959244 -37.797048)
LINESTRING (144.959244 -37.797048, 144.959192 -37.797033)
LINESTRING (144.959192 -37.797033, 144.959168 -37.797015)
LINESTRING (144.959168 -37.797015, 144.959142 -37.796989)
LINESTRING (144.959142 -37.796989, 144.959133 -37.79698)
LINESTRING (144.95743 -37.798016, 144.957562 -37.798062)
LINESTRING (144.957562 -37.798062, 144.957582 -37.79807)
LINESTRING (144.957582 -37.79807, 144.957639 -37.798089)
LINESTRING (144.957639 -37.798089, 144.957637 -37.798104)
LINESTRING (144.957637 -37.798104, 144.957692 -37.798125)
LINESTRING (144.957692 -37.798125, 144.957734 -37.79814)
LINESTRING (144.957734 -37.79814, 144.95777 -37.798151)
LINESTRING (144.95777 -37.798151, 144.957807 -37.798164)
LINESTRING (144.957807 -37.798164, 144.957861 -37.79818)
LINESTRING (144.957861 -37.79818, 144.957864 -37.798158)
LINESTRING (144.957864 -37.798158, 144.95793 -37.798164)
LINESTRING (144.95793 -37.798164, 144.958043 -37.798172)
LINESTRING (144.96105 -37.798576, 144.961061 -37.798577)
LINESTRING (144.961061 -37.798577, 144.961159 -37.798587)
LINESTRING (144.961159 -37.798587, 144.961322 -37.798604)
LINESTRING (144.961322 -37.798604, 144.961369 -37.798609)
LINESTRING (144.961369 -37.798609, 144.961381 -37.798548)
LINESTRING (144.961381 -37.798548, 144.961416 -37.798502)
LINESTRING (144.961416 -37.798502, 144.961428 -37.798435)
LINESTRING (144.961428 -37.798435, 144.961474 -37.798192)
LINESTRING (144.961474 -37.798192, 144.961495 -37.798167)
