geometry
LINESTRING (144.957315 -37.821444, 144.957439 -37.821371)
LINESTRING (144.957439 -37.821371, 144.957562 -37.821327)
LINESTRING (144.957562 -37.821327, 144.957637 -37.821302)
LINESTRING (144.957637 -37.821302, 144.957751 -37.821287)
LINESTRING (144.955501 -37.822494, 144.955505 -37.822557)
LINESTRING (144.955505 -37.822557, 144.955546 -37.822651)
LINESTRING (144.955546 -37.822651, 144.95566 -37.822901)
LINESTRING (144.95566 -37.822901, 144.955811 -37.823237)
LINESTRING (144.955811 -37.823237, 144.955976 -37.823607)
LINESTRING (144.9559 -37.82321, 144.955811 -37.823237)
LINESTRING (144.955745 -37.822876, 144.95566 -37.822901)
LINESTRING (144.955629 -37.822627, 144.955546 -37.822651)
LINESTRING (144.952417 -37.824317, 144.952345 -37.824362)
LINESTRING (144.955976 -37.823607, 144.955979 -37.823631)
LINESTRING (144.955979 -37.823631, 144.955991 -37.823693)
LINESTRING (144.956388 -37.824521, 144.956508 -37.824541)
LINESTRING (144.956508 -37.824541, 144.956515 -37.824543)
LINESTRING (144.956515 -37.824543, 144.956692 -37.824944)
LINESTRING (144.956692 -37.824944, 144.956683 -37.825126)
LINESTRING (144.953587 -37.822134, 144.953674 -37.822288)
LINESTRING (144.953036 -37.822499, 144.952679 -37.822608)
LINESTRING (144.952636 -37.822608, 144.952545 -37.822412)
LINESTRING (144.961346 -37.819789, 144.961366 -37.819788)
LINESTRING (144.961366 -37.819788, 144.961434 -37.819784)
LINESTRING (144.961434 -37.819784, 144.961546 -37.819778)
LINESTRING (144.961546 -37.819778, 144.961622 -37.819775)
LINESTRING (144.961491 -37.821656, 144.961426 -37.821639)
LINESTRING (144.961426 -37.821639, 144.961379 -37.82163)
LINESTRING (144.961379 -37.82163, 144.961344 -37.821628)
LINESTRING (144.961344 -37.821628, 144.961342 -37.821627)
LINESTRING (144.961342 -37.821627, 144.961306 -37.821622)
LINESTRING (144.961306 -37.821622, 144.961304 -37.821621)
LINESTRING (144.961304 -37.821621, 144.961274 -37.821615)
LINESTRING (144.961274 -37.821615, 144.961223 -37.821605)
LINESTRING (144.961223 -37.821605, 144.961147 -37.821591)
LINESTRING (144.961147 -37.821591, 144.961161 -37.821542)
LINESTRING (144.961161 -37.821542, 144.961179 -37.821458)
LINESTRING (144.961366 -37.819788, 144.961349 -37.819748)
LINESTRING (144.961349 -37.819748, 144.961341 -37.819731)
LINESTRING (144.961341 -37.819731, 144.961218 -37.819454)
LINESTRING (144.961218 -37.819454, 144.961206 -37.819422)
LINESTRING (144.961206 -37.819422, 144.96116 -37.819433)
LINESTRING (144.96116 -37.819433, 144.961122 -37.819443)
LINESTRING (144.961122 -37.819443, 144.961068 -37.819456)
LINESTRING (144.961068 -37.819456, 144.960988 -37.819476)
LINESTRING (144.964835 -37.818361, 144.964875 -37.818299)
LINESTRING (144.964875 -37.818299, 144.964892 -37.818272)
LINESTRING (144.964892 -37.818272, 144.964925 -37.81822)
